product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,summary,content
254093344,Hồi Ký Rich DeVos Con Đường Tỷ Phú ( Bìa Cứng) - Bản Quyền,,268000,241000,0,Tiểu sử - Hồi ký,0,0.0,0,,https://salt.tikicdn.com/cache/280x280/ts/product/7c/ff/39/63bb126498d4022093bb57895b0f6dad.jpg,"Tác Giả: Rich DeVos
    Công ty phát hành: FirstNews - Trí Việt
    Ngày phát hành: 2020
    Số trang: 312
    Kích thước: 16 x 24 cm
    NXB: NXB Thanh Niên
    Giá bìa: 268.000 VND
    Loại Bìa: Bìa cứng
    Mô tả sản phẩm:
    HỒI KÝ RICH DEVOS - CON ĐƯỜNG TỶ PHÚ
    Trở thành tỷ phú nhờ bán hàng kiểu Mỹ
   
  First News vừa hoàn tất hợp đồng chuyển giao bản quyền với Howard Books, một chi nhánh của Simon & Schuster, Hoa Kỳ và xuất bản cuốn hồi ký Con Đường Tỷ Phú của Rich DeVos - một trong h...",
173985476,33 chiến lược của chiến tranh (Robert Greene) _BOOKCITY,,215000,193500,0,Sách kinh tế học - khác,0,0.0,586,,https://salt.tikicdn.com/cache/280x280/ts/product/ae/f6/bf/2a760716d8f2c2d0fe850b82cf83b4bb.jpg,"33 Chiến Lược Của Chiến Tranh 
 Bao quát nhiều nền văn minh thế giới, tóm lược lịch sử hàng ngàn năm xung đột, tập hợp những nguyên tắc quân sự hiệu quả và thiên tài bậc nhất, 33 Chiến lược chiến tranh là bản hướng dẫn đầy đủ, chi tiết giúp bạn sống sót trong cuộc chiến xã hội diễn ra hằng ngày. Các chiến lược tấn công giúp bạn luôn dẫn thế thượng phong và thương lượng từ điểm mạnh của mình, chiến lược phòng thủ giúp bạn phản ứng với các tình huống nguy hiểm và tránh những cuộc chiến không thể c...",
258571145,Tái tạo tổ chức (bản đầy đủ) - Bản Quyền,,350000,315000,0,Root,0,0.0,0,,https://salt.tikicdn.com/cache/280x280/ts/product/22/bd/94/d15b86bb21e7027db06e2ca3124b5da9.jpg,"TÁI TẠO TỔ CHỨC – PHIÊN BẢN ĐẦY ĐỦ
     Đâu là mô hình tổ chức cấp tiến nhất?
     Theo nhiều học giả, giải pháp nằm ở cách quản lý sáng suốt hơn, nhưng bấy nhiêu vẫn chưa đủ. Chúng ta cần các nhà lãnh đạo khai sáng, và hơn hết là một cấu trúc và cách thực hành của một tổ chức khai sáng. Nhưng tổ chức khai sáng là như thế nào?
     Các tổ chức tiên phong được nghiên cứu trong cuốn sách Tái Tạo Tổ Chức (Phiên bản đầy đủ) mặc dù hoạt động trong các lĩnh vực, vùng địa lý khác nhau và không hề biết ...",
213855971,Khắc Kỷ - Từ Zeno Đến Marcus Aurelius,"Ryan Holiday,  Stephen Hanselman",219000,219000,3,Triết Học phương Tây,0,0.0,0,,https://salt.tikicdn.com/cache/280x280/ts/product/51/83/00/463ab120730b5f47bccca242aa7c7027.jpg,"Lý do duy nhất cho việc học triết học là để trở thành một con người tốt hơn. Mọi lý do khác, như Nietzsche đã nói, chỉ là “những phê phán từ ngữ bằng những từ ngữ khác”. 
 Không có trường phái triết học nào lại tin vào luận điểm này – tức là việc thực quan trọng hơn ý tưởng – hơn là Trường phái Khắc kỷ, một trường phái triết học Hy Lạp cổ đại ra đời từ thế kỷ thứ III trước Công Nguyên. 
 Khác với những triết gia bàn giấy khác, trường phái Khắc kỷ quan tâm hơn tới việc ta sống ra sao. Họ quan tâm...",
277981960,Sách - 21 Bài Học Cho Thế Kỷ 21 (Yuval Noah Harari),Yuval Noah Harari,209000,188100,2,Sách tư duy - Kỹ năng sống,0,0.0,434,,https://salt.tikicdn.com/cache/280x280/ts/product/6a/7d/2d/60e5e0aef2beb179615edbabdce20896.jpg,"21 Bài Học Cho Thế Kỷ 21 
 Tác giả: Yuval Noah Harari 
 Công ty phát hành: Nhã Nam 
 Nhà xuất bản: NXB Thế Giới 
 Năm xuất bản: 2019 
 Số trang: 434 
   
 Giới thiệu về sách 21 Bài Học Cho Thế Kỷ 21 
 21 Bài Học Cho Thế Kỷ 21 của Yuval Noah Harari là tác phẩm tiếp nối hai cuốn sách nổi tiếng *Sapiens* và *Homo Deus*, tập trung vào các vấn đề “ngay tại đây” và “ngay lúc này” của xã hội loài người. Cuốn sách phân tích sâu sắc những thách thức hiện đại như công nghệ đột phá, khủng hoảng sinh thái, ...",
34445751,Combo 13 Nguyên Tắc Nghĩ Giàu Làm Giàu - Think And Grow Rich và Chiến Thắng Con Quỷ Trong Bạn( Tặng Kèm Sổ Tay Xương Rồng),Napoleon Hill,254000,215900,191,Sách tiếng Việt,30,4.7,0,,https://salt.tikicdn.com/cache/280x280/ts/product/59/f2/97/aa80f4d14f935e9567e4f44e6017d7fb.jpg,"Combo 13 Nguyên Tắc Nghĩ Giàu Làm Giàu - Think And Grow Rich và Chiến Thắng Con Quỷ Trong Bạn( Tặng Kèm Sổ Tay Xương Rồng) 
 Bản đặc biệt tặng kèm sổ tay xương rồng, mẫu ngẫu nhiên ( 1 trong 4 mẫu như hình ) và số lượng có hạn. 
 13 Nguyên Tắc Nghĩ Giàu Làm Giàu  là cuốn sách “chỉ dẫn” duy nhất chỉ ra những nguồn lực bạn phải có để thành công. Cuốn sách sẽ giúp bạn trở nên giàu có, làm giàu thêm cho cuộc sống của bạn trên tất cả các phương diện của cuộc sống chứ không chỉ về tài chính và vật chấ...","Sách chất lượng, giao đúng hẹn, gói cẩn thận kĩ lưỡng ||| Nội dung sách vô cùng thiết thực, dễ hiểu, dễ áp dụng VÀ cũng rất hữu ích, mỗi lần đọc là một lần thấy mới mẻ. Mình nghĩ bạn trẻ nào cũng nên đọc hai cuốn sách này ít nhất một lần. ||| Sách rất hay nên có trong tủ sách gia đình. Kể cả cho bé đọc. ||| Mình vừa nhận được sách và nó đã gặp trình trạng này rồi. Mình ko hài lòng và mong nhận được sự hồi đáp của Tiki."
2069337,Sách Câu Chuyện Iphone,Brian Merchant,279000,211100,817,Sách tiếng Việt,14,3.7,0,,https://salt.tikicdn.com/cache/280x280/ts/product/a8/b5/24/4f0a7e07709b1e2e321fa9e5c9aa9591.jpg,"Câu Chuyện Iphone 
 Câu chuyện iPhone là một cẩm nang cho những thiên tài về thiết kế và kỹ thuật, một học thuyết về nhân loại của thế giới hiện đại, và là một cái nhìn chưa từng có tiền lệ về một trong những công ty bí mật nhất trong lịch sử. Đây chính là một bản báo cáo chưa được tiết lộ, trong 10 năm sáng chế của một thiết bị đã làm thay đổi mọi thứ trên thế giới này. 
 Để lần ra dấu vết lịch sử của chiếc điện thoại iPhone, Brian Merchant – tác giả của quyển sách đã đi đến nhiều lục địa khác ...","Nội dung sách hay ||| SÁCH RẤT HAY . Kể về lịch sử ra đời Iphone rất chi tiết . Sách dày dặn . Tiki đóng gói kĩ sách rất mới và đẹp . Sẽ tiếp tục ủng hộ nhiều nhiều ||| Trước khi mua mình đã đọc nhận xét của mọi người đều phàn nàn khá nhiều vấn đề ngoại hình của sách, tuy nhiên đúng hôm giảm giá 70% nên tặc lưỡi mua. Kết quả là cuốn của mình cũng trong tình trạng tương tự, bìa bị bẩn cũ phải dùng giẻ lau mãi (còn các mép trang sách bị bẩn thì không lau nổi). Nội dung mình chưa đọc nên không có đánh giá. ||| Đây là quyển sách cực kỳ hay không chỉ dành cho những bạn yêu thích Iphone mà cho tất cả những bạn trẻ đam mê cái hay của cuộc sống, những điều xuất phát từ quá trình say mê lao động. Sách bìa cứng, giấy màu ngà chống mỏi mắt, chất lượng giấy tốt, chữ rõ ràng.
Tiki giao hàng nhanh, đóng gói cẩn thận. Mình rất hài lòng!"
277240822,Sách - Content Bạc Tỷ - Diệp Tiểu Ngư - 1980 Books,,179000,179000,0,Sách tiếng Việt,0,0.0,0,,https://salt.tikicdn.com/cache/280x280/ts/product/94/73/c1/f005d56fdf711fb4207bf55388136bc2.jpg,"Sách - Content Bạc Tỷ 
 Kinh doanh muốn phát triển lâu dài thì content phải có hiệu quả. Content hiệu quả là content có thể hái ra tiền. Rất nhiều content được chú trọng từng câu chữ với những câu văn bay bổng nhưng lại không thể mang lại hấp dẫn đối với người đọc. Viết content cũng giống việc móc nối các thông tin lại với nhau, “Content Bạc Tỷ” sẽ chỉ ra cho bạn 4 bước cụ thể để xây dựng chiến dịch viết một bài quảng cáo chuyên nghiệp: “Nói những gì – Nói với ai – Nói ở đâu – Nói thế nào”. Nói ...",
247884821,Sách Cách Người Do Thái Quản Lý Tiền và Tài Sản,Tiến Thành,95000,73000,117,Quản lý tài sản,11,5.0,216,,https://salt.tikicdn.com/cache/280x280/ts/product/97/44/87/5a742743d26c597205bd79b61298e7b5.jpg,"“Tiền của thế giới nằm trong tay người Mỹ, nhưng tiền của người Mỹ lại nằm trong túi người Do Thái”. Đó là lời khen ngợi, tán dương dành cho trí tuệ phi thường của người Do Thái.  
 Qua mấy nghìn năm được rèn giũa trong môi trường kinh doanh cạnh tranh khốc liệt, người Do Thái đã rút ra cho mình những bài học kinh nghiệm về cách làm giàu; cách quản lý tiền, tài sản; và cả cách sử dụng tiền độc đáo so với các dân tộc khác. Họ quan niệm tiền và trí tuệ có quan hệ mật thiết với nhau: trí tuệ phải t...",Chất lượng hàng+ Chất lượng phục vụ+ Giao diện website
55829941,Combo Hành Trình Khám Phá Và Chinh Phục Dịch Vụ Kinh Doanh: Nâng Tầm Dịch Vụ + 36 Kế Trong Kinh Doanh Hiện Đại (Tái Bản) Của Lan Bercu ( Nghệ Thuật Quản Trị Kinh Doanh Thời Đại Mới),,265000,239000,0,Sách tiếng Việt,0,0.0,0,,https://salt.tikicdn.com/cache/280x280/ts/product/d3/c6/6a/181c1c8a49cfa2bf50f75e97a91308ee.jpg,"Combo Hành Trình Khám Phá Và Chinh Phục Dịch Vụ Kinh Doanh: Nâng Tầm Dịch Vụ + 36 Kế Trong Kinh Doanh Hiện Đại (Tái Bản) Của Lan Bercu ( Nghệ Thuật Quản Trị Kinh Doanh Thời Đại Mới) 
 1. Nâng Tầm Dịch Vụ  
   
 Cuốn sách tiết lộ sức mạnh của việc cung cấp dịch vụ nâng tầm và các bước đi mà người làm dịch vụ có thể áp dụng nhằm xây dựng văn hóa dịch vụ bền vững, có thể phát huy hiệu quả hàng ngày. Cuốn sách cũng trả lời rất nhiều câu hỏi về quá trình thúc đẩy dịch vụ liên tục và xóa đi những quan...",
167613602,Tony Hsieh - Tỷ Phú Bán Giày,,159000,143000,1,Sách hướng nghiệp,0,0.0,0,,https://salt.tikicdn.com/cache/280x280/ts/product/45/af/07/2d74aee8bceb1dfabae29e3776610c44.jpg,"Mã hàng 
 8935251417807 
 
 
 Tên Nhà Cung Cấp 
 Alpha Books 
 
 
 Tác giả 
 Tony Hsieh 
 
 
 Người Dịch 
 Hoàng Thị Minh Hiếu 
 
 
 NXB 
 NXB Công Thương 
 
 
 Năm XB 
 2021 
 
 
 Trọng lượng (gr) 
 250 
 
 
 Kích Thước Bao Bì 
 20.5 x 13 cm 
 
 
 Số trang 
 367 
 
 
 Hình thức 
 Bìa Mềm 
 
 
 
 Tỷ Phú Bán Giày không phải là một cuốn sách dạy cách làm giàu tuần tự theo các bước 1 - 2 - 3, cũng không hẳn là một cuốn sách chỉ dẫn bí quyết kinh doanh hay nghệ thuật quản lý. Là hành trình tìm ra ch...",
