product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,group_scores,primary_group,group_score
49904794,Fullset Ehon Nhật Bản cho bé thông minh sáng tạo: Ehon Điều Kỳ Diệu Của Hình Khối + Điều Kỳ Diệu Của Âm Thanh + Điều Kỳ Diệu Của Màu Sắc (Bộ 10 cuốn cho bé 0-6 tuổi / Bộ Sách Phát Triển Trí Tuệ & Kích Thích Thị Giác Cho Bé),Suzuki Mio,390000,261300,3392.0,Truyện tranh Ehon,722,5.0,99,Nhà Xuất Bản Lao Động Xã Hội,https://salt.tikicdn.com/ts/product/8a/87/af/5e4727433b6161ba417b9c85a4a50f68.jpg,"{'Chinh phục': 0.2070140110846593, 'Kiến tạo': 0.15017925531414375, 'Tri thức': 0.11065839865252698, 'Tự do': 0.21736471163889232, 'Kết nối': 0.11263444148560783, 'Đa động lực': 0.20214918182416983}",Đa động lực,0.20214918182416983
73222804,Putin Logic Của Quyền Lực (Tái Bản 2020),Hubert Seipel,168000,110800,700.0,Tiểu sử - Hồi ký,155,5.0,384,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/b7/18/0d/a03d1255ffd4a3f38b619eac96277eca.jpg,"{'Chinh phục': 0.1944493547816864, 'Kiến tạo': 0.11961581521418889, 'Tri thức': 0.14436391491367626, 'Tự do': 0.2681044134111131, 'Kết nối': 0.16911201461316364, 'Đa động lực': 0.10435448706617169}",Đa động lực,0.10435448706617169
565720,Chỉ Là Sách Thôi,Lane Smith,50000,45000,36.0,Chỉ Là Sách Thôi,5,4.0,32,,https://salt.tikicdn.com/media/catalog/product/c/h/chi-la-sach-thoi.u547.d20161219.t113830.717836.jpg,"{'Chinh phục': 0.08416220351951033, 'Kiến tạo': 0.2570772762050497, 'Tri thức': 0.12853863810252486, 'Tự do': 0.2570772762050497, 'Kết nối': 0.09640397857689365, 'Đa động lực': 0.1767406273909717}",Đa động lực,0.1767406273909717
197344438,"Nghĩ Như Một Tỷ Phú - Mọi Thứ Bạn Cần Biết Về Thành Công, Bất Động Sản Và Cuộc Sống",Donald J.Trump,90000,60300,108.0,Sách doanh nhân,5,5.0,,NXB Trẻ,https://salt.tikicdn.com/ts/product/da/d0/3f/b66b8ea8c2074958c85cae6e5d25b3ba.jpg,"{'Chinh phục': 0.411214953271028, 'Kiến tạo': 0.19626168224299068, 'Tri thức': 0.0, 'Tự do': 0.19626168224299068, 'Kết nối': 0.19626168224299068, 'Đa động lực': 0.0}",Chinh phục,0.411214953271028
90893294,Giã Từ Thơ Ngây,Park Hyun-Wook,105000,89000,,Tiểu Thuyết,0,0.0,192,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/b0/cf/1e/c887067916ed39ea53dbd8594e0950d7.jpg,"{'Chinh phục': 0.0862406899255194, 'Kiến tạo': 0.15495653376991722, 'Tri thức': 0.1840108838517767, 'Tự do': 0.15495653376991722, 'Kết nối': 0.16948370881084698, 'Đa động lực': 0.2503516498720225}",Đa động lực,0.2503516498720225
205039768,Vegan Journey - Món Tây Gia Vị Việt,Shushu Le,225000,154250,41.0,Sách Nấu ăn,2,5.0,184,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/3a/a1/34/776f90a0c1c6e1b69128d37f1b24c7ed.jpg,"{'Chinh phục': 0.0, 'Kiến tạo': 0.0, 'Tri thức': 0.0, 'Tự do': 0.0, 'Kết nối': 0.6140350877192982, 'Đa động lực': 0.38596491228070173}",Kết nối,0.6140350877192982
160488843,"Sống Như Một Cái Cây: Không Tham Lam, Không Chiến Đấu Vô Ích, Sống Khôn Ngoan Một Cách Thầm Lặng",Osamu Tanaka,65000,45500,316.0,Sách nghệ thuật sống đẹp,49,5.0,164,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/0c/02/22/66c90fce39563c7d36b91c709d466ff0.jpg,"{'Chinh phục': 0.14588859416445624, 'Kiến tạo': 0.17020335985853227, 'Tri thức': 0.21662245800176835, 'Tự do': 0.1856763925729443, 'Kết nối': 0.16246684350132626, 'Đa động lực': 0.11914235190097261}",Đa động lực,0.11914235190097261
193433863,101 Lời Khuyên Tài Chính Cá Nhân Từ Thái Phạm,Thái Phạm,299000,299000,381.0,"Sách tài chính, tiền tệ",52,5.0,408,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/e9/8a/df/df45cd2966274964ab2f64f586dbae44.jpg,"{'Chinh phục': 0.39783001808318263, 'Kiến tạo': 0.09493670886075949, 'Tri thức': 0.081374321880651, 'Tự do': 0.13562386980108498, 'Kết nối': 0.15596745027124773, 'Đa động lực': 0.13426763110307413}",Chinh phục,0.39783001808318263
56362836,Hồ Sơ Rachel,Martin Amis,120000,48000,159.0,Tiểu Thuyết,19,4.6,332,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/1e/6e/36/c9b1aa8028e11c6af1c1d23fa9643c94.jpg,"{'Chinh phục': 0.14864864864864863, 'Kiến tạo': 0.14189189189189189, 'Tri thức': 0.11148648648648649, 'Tự do': 0.20270270270270271, 'Kết nối': 0.1722972972972973, 'Đa động lực': 0.222972972972973}",Đa động lực,0.222972972972973
92492874,Sống Sót Nơi Công Sở  Everyday English - Nói Đi Ngại Gì,Gina Kim,169000,109850,36.0,Sách Học Tiếng Anh,4,3.8,260,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/7b/d5/ee/156869db2f2efc626d1c2386920661cd.png,"{'Chinh phục': 0.13582798700775775, 'Kiến tạo': 0.19729954634526078, 'Tri thức': 0.19729954634526078, 'Tự do': 0.18038815665852415, 'Kết nối': 0.14656537728505087, 'Đa động lực': 0.14261938635814564}",Đa động lực,0.14261938635814564
77230661,Tâm Thức,Daniel J.Siegel,159000,106000,1298.0,Sách nghệ thuật sống đẹp,197,4.8,420,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/66/ce/36/2a1e1802f19a374d0c6e7a573f744339.jpg,"{'Chinh phục': 0.1079975455103293, 'Kiến tạo': 0.16608713438330946, 'Tri thức': 0.16895070566578033, 'Tự do': 0.214767846185314, 'Kết nối': 0.13745142155860093, 'Đa động lực': 0.204745346696666}",Đa động lực,0.204745346696666
149147174,"""999 Lá Thư Gửi Cho Chính Mình” - Phiên Bản Mini",Miêu Công Tử,78000,47360,344.0,Sách tư duy - Kỹ năng sống,72,4.8,160,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/29/84/c6/c2946b6b4e38ebe5c1c18513b944c595.jpg,"{'Chinh phục': 0.04758814622539476, 'Kiến tạo': 0.37854207224745834, 'Tri thức': 0.015141682889898337, 'Tự do': 0.136275146009085, 'Kết nối': 0.27255029201817, 'Đa động lực': 0.14990266060999352}",Kiến tạo,0.37854207224745834
4184211,Em Sẽ Đến Cùng Cơn Mưa (Tái Bản 2018),Ichikawa Takuji,90000,54000,2909.0,Tiểu Thuyết,363,4.7,332,,https://salt.tikicdn.com/ts/product/f3/36/1e/01bdf9811dcf7491820483c8127c2cda.jpg,"{'Chinh phục': 0.1974704202366381, 'Kiến tạo': 0.19611043111655105, 'Tri thức': 0.0590235278117775, 'Tự do': 0.3046375628994968, 'Kết nối': 0.1275669794641643, 'Đa động lực': 0.11519107847137224}",Tự do,0.3046375628994968
76012201,Những Ngày Thơ Ấu (Việt Nam Danh Tác),Nguyên Hồng,75000,45000,631.0,Truyện ngắn - Tản văn - Tạp Văn,135,4.8,184,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/10/46/b1/25a5b8c0299dcf3ab0c6bfe65fca24e3.jpg,"{'Chinh phục': 0.13204349668125973, 'Kiến tạo': 0.2224262109871487, 'Tri thức': 0.08897048439485947, 'Tự do': 0.19771218754413217, 'Kết nối': 0.16311255472390906, 'Đa động lực': 0.19573506566869087}",Đa động lực,0.19573506566869087
20889775,Bà Ngoại Thời @ ( Tái Bản ),Susie Morgenstern,66000,56100,54.0,Truyện ngắn - Tản văn - Tạp Văn,8,4.6,202,,https://salt.tikicdn.com/ts/product/33/9d/31/c75625a9d2f8a1579650fbf1e21b9796.jpg,"{'Chinh phục': 0.1287657083835428, 'Kiến tạo': 0.23859528318127046, 'Tri thức': 0.0, 'Tự do': 0.3181270442416939, 'Kết nối': 0.19521432260285762, 'Đa động lực': 0.11929764159063523}",Tự do,0.3181270442416939
115078652,Huấn Luyện Cảm Xúc Để Con Trẻ Phát Triển Toàn Diện,,198000,172260,18.0,Sách tư duy - Kỹ năng sống,2,5.0,528,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/01/6f/d2/e5a158a6029a142a29932acf9b4422ae.jpg,"{'Chinh phục': 0.11403451217111739, 'Kiến tạo': 0.20116790236861096, 'Tri thức': 0.17636638015878225, 'Tự do': 0.20667935174857296, 'Kết nối': 0.16534348139885835, 'Đa động lực': 0.13640837215405813}",Đa động lực,0.13640837215405813
2782211,Quái Thú,C. J. Skuse,115000,92000,7.0,Truyện kinh dị,4,4.3,416,,https://salt.tikicdn.com/ts/product/94/a5/52/e28806e544f90e40f65800a4d6228b69.jpg,"{'Chinh phục': 0.2036540803897686, 'Kiến tạo': 0.25237515225334956, 'Tri thức': 0.04092570036540804, 'Tự do': 0.3342265529841657, 'Kết nối': 0.11254567600487211, 'Đa động lực': 0.05627283800243606}",Tự do,0.3342265529841657
187827443,Ăn Gì Không Chết - Sức Mạnh Chữa Lành Của Thực Phẩm,Michael Greger,320000,219001,257.0,Ăn Gì Không Chết - Sức Mạnh Chữa Lành Của Thực Phẩm,24,5.0,776,NXB Trẻ,https://salt.tikicdn.com/ts/product/e5/77/82/8c5599c982ae38df04f19f4eb04bbf71.jpg,"{'Chinh phục': 0.1452984396928919, 'Kiến tạo': 0.22537769338726985, 'Tri thức': 0.1560307108065714, 'Tự do': 0.24271443903244444, 'Kết nối': 0.17336745645174606, 'Đa động lực': 0.057211260629076194}",Đa động lực,0.057211260629076194
20520720,Đối Thoại Với Thượng Đế ( Tái Bản ),Neale Donald Walsch,98000,79100,3099.0,Tiểu Thuyết,322,4.8,336,,https://salt.tikicdn.com/ts/product/de/3a/ed/9bef06e2da1b44f77c010f37f7c5750c.jpg,"{'Chinh phục': 0.1530874655855747, 'Kiến tạo': 0.21178107887332467, 'Tri thức': 0.1673070523099265, 'Tự do': 0.1863673494085257, 'Kết nối': 0.09741929628172935, 'Đa động lực': 0.18403775754091914}",Đa động lực,0.18403775754091914
190592910,Combo 2 Cuốn Tâm Lý Kẻ Phạm Tội: 8 Vụ Án Hoàn Hảo + Tâm Lý Học Tội Pham,Nhiều tác giả,290000,200000,173.0,Sách tư duy - Kỹ năng sống,35,5.0,,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/71/47/2e/8de9348efd590722ece7f8a63b98b158.jpg,"{'Chinh phục': 0.0, 'Kiến tạo': 0.19801980198019803, 'Tri thức': 0.12376237623762378, 'Tự do': 0.47029702970297027, 'Kết nối': 0.09900990099009901, 'Đa động lực': 0.10891089108910892}",Tự do,0.47029702970297027
117595301,Trại Bồ Tùng Linh (Việt Nam Danh Tác),Thế Lữ,65000,39000,445.0,Tiểu Thuyết,81,5.0,120,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/20/51/4e/6a261933eb54abe11166f444bb7b1736.jpg,"{'Chinh phục': 0.11643291876157712, 'Kiến tạo': 0.2475402343092208, 'Tri thức': 0.0846183454016214, 'Tự do': 0.2096514229353605, 'Kết nối': 0.15281820587456998, 'Đa động lực': 0.1889388727176502}",Đa động lực,0.1889388727176502
36399658,"Ung Thư Không Phải Là Bệnh, Mà Là Cơ Chế Chữa Lành",Andreas Moritz,169000,118300,1587.0,"Ung Thư Không Phải Là Bệnh, Mà Là Cơ Chế Chữa Lành",167,5.0,463,,https://salt.tikicdn.com/ts/product/e6/cd/4d/83cb1063ac338f2e97b93d5b5c24b744.jpg,"{'Chinh phục': 0.07370184254606364, 'Kiến tạo': 0.19200167504187604, 'Tri thức': 0.1978643216080402, 'Tự do': 0.18027638190954773, 'Kết nối': 0.2594221105527638, 'Đa động lực': 0.09673366834170855}",Đa động lực,0.09673366834170855
49066793,Truyện Trẻ Con,A. S. Byatt,286000,243100,23.0,Văn học thiếu nhi,7,5.0,700,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/fc/02/dd/c5dba736b941a34ad6100eda568950a9.jpg,"{'Chinh phục': 0.0, 'Kiến tạo': 0.3497942386831276, 'Tri thức': 0.013717421124828535, 'Tự do': 0.2469135802469136, 'Kết nối': 0.25377229080932784, 'Đa động lực': 0.13580246913580246}",Kiến tạo,0.3497942386831276
8121633,Văn Minh Vật Chất Của Người Việt,Phan Cẩm Thượng,330000,221100,1230.0,Sách tư duy - Kỹ năng sống,125,5.0,656,,https://salt.tikicdn.com/ts/product/8d/ec/40/10bf040c3ea21dfd0603b91acd6a9668.jpg,"{'Chinh phục': 0.10067175516629145, 'Kiến tạo': 0.2242234546885582, 'Tri thức': 0.07943916680394633, 'Tự do': 0.1909102557062581, 'Kết nối': 0.194754086358062, 'Đa động lực': 0.21000128127688394}",Đa động lực,0.21000128127688394
196851308,Dragon Ball Full Color - Phần Năm: Truy Lùng Cell Bọ Hung - Tập 4,Akira Toriyama,77000,77000,463.0,Dragon Ball Full Color - Phần Năm: Truy Lùng Cell Bọ Hung - Tập 4,48,5.0,,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/3d/0f/4b/6064cef0c1c482678434c5ebdc3ae939.jpg,"{'Chinh phục': 0.270996640537514, 'Kiến tạo': 0.3292273236282195, 'Tri thức': 0.07054871220604704, 'Tự do': 0.25867861142217247, 'Kết nối': 0.07054871220604704, 'Đa động lực': 0.0}",Kiến tạo,0.3292273236282195
104935828,Truyện Ngắn Nguyễn Huy Thiệp (Bìa Cứng) - Ấn Bản Kỷ Niệm 70 Năm Ngày Sinh Tác Giả - Với Minh Họa Của Các Họa Sĩ (Tái Bản - Bìa Xanh),Nguyễn Huy Thiệp,450000,247500,381.0,Tác phẩm kinh điển,102,4.8,569,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/ca/e4/99/8dc28b0c8068327faa2fb9a593854a1e.jpg,"{'Chinh phục': 0.1120590856997326, 'Kiến tạo': 0.2215713739971985, 'Tri thức': 0.07767732076913282, 'Tự do': 0.2992486947663313, 'Kết nối': 0.14516745192919905, 'Đa động lực': 0.14427607283840568}",Đa động lực,0.14427607283840568
201580265,Ma Pháp Thiếu Nữ (Vol 2+3),Endou Asari,325000,253000,93.0,Light novel,20,5.0,388,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/92/ba/4b/88d4a049083b5421cbdbd1cb6cdf51f1.jpg,"{'Chinh phục': 0.17041053446940355, 'Kiến tạo': 0.16266460108443068, 'Tri thức': 0.16266460108443068, 'Tự do': 0.16266460108443068, 'Kết nối': 0.16266460108443068, 'Đa động lực': 0.17893106119287375}",Đa động lực,0.17893106119287375
193897099,Cuộc săn cừu hoang,Haruki Murakami,136000,86001,68.0,Truyện trinh thám,7,5.0,448,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/b9/54/15/fc60fff0202845f310620d2f0f8cc774.jpg,"{'Chinh phục': 0.0, 'Kiến tạo': 0.08620689655172416, 'Tri thức': 0.0, 'Tự do': 0.08620689655172416, 'Kết nối': 0.25862068965517243, 'Đa động lực': 0.5689655172413793}",Đa động lực,0.5689655172413793
140416366,Hôm Nay Phải Mở Mang (Một Tựa Sách Của Ngày Ngày Viết Chữ Dành Cho Người Học Viết Và Làm Nghề Viết),Nguyễn Thùy Dung,119000,89200,2374.0,Sách hướng nghiệp - Kỹ năng mềm,339,5.0,208,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/6e/7e/3d/2842d33e80ce2b6ac2fc077934b84d57.jpg,"{'Chinh phục': 0.1575094968961364, 'Kiến tạo': 0.2635546608492036, 'Tri thức': 0.12116439106154664, 'Tự do': 0.15300320915071217, 'Kết nối': 0.16273173690017942, 'Đa động lực': 0.14203650514222182}",Đa động lực,0.14203650514222182
156824931,Khúc Nhạc Vĩnh Hằng,Cao Minh,199000,139001,538.0,Truyện ngắn - Tản văn - Tạp Văn,116,5.0,360,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/a6/31/5b/8b93a5fcdbb2d044f6d926ee2f44edcc.jpg,"{'Chinh phục': 0.12778185375397408, 'Kiến tạo': 0.243947175348496, 'Tri thức': 0.057776962582538526, 'Tự do': 0.23538762533626806, 'Kết nối': 0.1091342626559061, 'Đa động lực': 0.22597212032281733}",Đa động lực,0.22597212032281733
1080548,Warren Buffett: 22 Thương Vụ Đầu Tiên Và Bài Học Đắt Giá Từ Những Sai Lầm,Glen Arnold,129000,106000,4337.0,Bài học kinh doanh,395,4.8,408,,https://salt.tikicdn.com/ts/product/b1/08/03/7ce21708c04b7a21c123121e2a19a732.jpg,"{'Chinh phục': 0.13003062704851967, 'Kiến tạo': 0.17207565418301005, 'Tri thức': 0.18053839127397775, 'Tự do': 0.18900112836494548, 'Kết nối': 0.1297619687281715, 'Đa động lực': 0.19859223040137555}",Đa động lực,0.19859223040137555
150711999,Michelle Obama - Chất Michelle (Bìa Cứng) (Tái Bản),Michelle Obama,520000,343200,429.0,Tiểu sử - Hồi ký,75,5.0,504,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/e4/92/e9/8569ecabf1157d89ac71f6c71bb69988.jpg,"{'Chinh phục': 0.26180886122299524, 'Kiến tạo': 0.15378982057854265, 'Tri thức': 0.15378982057854265, 'Tự do': 0.03844745514463567, 'Kết nối': 0.09611863786158917, 'Đa động lực': 0.29604540461369466}",Đa động lực,0.29604540461369466
183058543,OSHO - Trưởng Thành,Osho,128000,84400,728.0,Sách Luyện Thi Đại Học - Cao Đẳng,80,5.0,252,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/media/catalog/producttmp/8e/e4/89/2ce9a76cba75838648e35d5e7334a16f.jpg,"{'Chinh phục': 0.23024300592199307, 'Kiến tạo': 0.24121911374310806, 'Tri thức': 0.08040637124770267, 'Tự do': 0.17153359199509904, 'Kết nối': 0.12328976924647743, 'Đa động lực': 0.15330814784561977}",Đa động lực,0.15330814784561977
170708229,Buổi Sáng Diệu Kỳ,Hal Elrod,119000,72800,113.0,Sách tư duy - Kỹ năng sống,11,5.0,268,Nhà Xuất Bản Khoa học & kỹ thuật,https://salt.tikicdn.com/ts/product/a5/45/92/1f430ced0033e926a30e34de3cc7c9fe.jpg,"{'Chinh phục': 0.1515151515151515, 'Kiến tạo': 0.1928374655647383, 'Tri thức': 0.1928374655647383, 'Tự do': 0.0, 'Kết nối': 0.14462809917355374, 'Đa động lực': 0.3181818181818182}",Đa động lực,0.3181818181818182
42560122,Sổ tay thực hành 6×66 Ngày Thử Thách (Phiên bản đặc biệt giới hạn),Happy Live Team,400000,400000,682.0,Sách tư duy - Kỹ năng sống,97,4.7,464,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,https://salt.tikicdn.com/ts/product/73/2b/a9/236ab54c9a4d137b5ac2f57c096a707a.jpg,"{'Chinh phục': 0.33622580459512863, 'Kiến tạo': 0.22694282626628215, 'Tri thức': 0.10742855681244126, 'Tự do': 0.13562855297570708, 'Kết nối': 0.10071427201166369, 'Đa động lực': 0.09305998733877724}",Chinh phục,0.33622580459512863
201712780,LOVED - Marketing cho sản phẩm công nghệ - Định hình cách thế giới nghĩ về bạn,Martina Lauchengco,285000,256500,,Sách Marketing - Bán hàng ,0,0.0,372,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/e5/92/59/e6c23ace7f9e22164dd4bb7748f83068.jpg,"{'Chinh phục': 0.09011469142545056, 'Kiến tạo': 0.21026761332605134, 'Tri thức': 0.2389404696886947, 'Tự do': 0.11469142545057345, 'Kết nối': 0.11469142545057345, 'Đa động lực': 0.2312943746586565}",Đa động lực,0.2312943746586565
