STT,TÊN SÁCH,TÁC GIẢ,DẠNG SÁCH,THỂ LOẠI,ĐỘ VINTAGE SÁCH (%),GIÁ
56,Đánh thức miền yêu,Ức Cẩm ,Đơn,Tiểu thuyết - Ngôn tình,0.99,75000
57,Yêu em từ cái nhìn đầu tiên,Cố Mạn,Đơn,Tiểu thuyết - Ngôn tình,0.97,80000
58,Và thế là anh đợi em suốt một thâp kỷ,Cửu Nguyệt Hi,Đơn,Tiểu thuyết - Ngôn tình,0.94,75000
59,Anh giả vờ sẽ không yêu em,Vương Thanh Tâm dịch,Đơn,Tiểu thuyết ngôn tình,0.97,95000
60,Lực cơ học của tình yêu,Điền Phản,Bộ 2 tập,Tiểu thuyết - Ngôn tình,0.99,150000
61,Hồ ly biết yêu,Diệp Lạc Vô Tâm,Đơn,Tiểu thuyết - Ngôn tình,0.97,75000
62,Hay là mình chung sống,Hồng Cửu ,Bộ 2 tập,Tiểu thuyết - Ngôn tình ,0.96,175000
63,Không kịp nói yêu em,Phỉ Ngã Tư Tồn,Đơn,Tiểu thuyết - Ngôn tình,0.96,80000
64,Bữa trưa tình yêu,Cố Mạn,Đơn,Tiểu thuyết- Ngôn tình,0.95,70000
65,Ai hiểu được lòng em ,Lục Xu,Đơn,Tiểu thuyết - Ngôn tình,0.85,80000
66,Xin được bên em thêm lần nữa,Atsushi Matsuhisa,Đơn,Tiểu thuyết - Ngôn tình,0.85,40000
67,Tôi thích một cô gái nhưng chẳng dám ngỏ lời,Yuruka Morisaki,Bộ 2 tập,Tiểu thuyết - Ngôn tình,0.9,100000
68,Cá mực hầm mật,Mặc Bảo Phi Bảo,Đơn,Tiểu thuyết - Ngôn tình,0.7,80000
69,Cô vợ hồ ly ngốc nghếch,Kính Trung Ảnh,Đơn,Tiểu thuyết - Ngôn tình,0.75,85000
70,"Rất nhớ, rất nhớ anh",Mặc Bảo Phi Bảo,Đơn,Tiểu thuyết - Ngôn tình,0.6,60000
71,Gặp ai giữa ngã rẽ tình yêu ,Diệp Tử,Đơn ,Tiểu Thuyết - Ngôn tình,0.65,75000
72,Thất tịch không mưa,Lâu Vũ Tình,Đơn,Tiểu thuyết - Ngôn tình,0.9,70000
73,Quái đàm ,Lafcadio Hearn,Đơn ,Kinh dị - Trinh thám,0.9,60000
74,Thiên thần và ác quỷ,Dan Brown ,Đơn ,Kinh dị - Trinh thám,0.95,120000
75,Vật chứa linh hồn ,Frances Hardinge,Đơn ,Kinh dị - Trinh thám,0.95,150000
76,Truyện ma ,M.r. James,Đơn ,Kinh dị - Trinh thám,0.95,100000
77,Sổ tay nhà thôi miên ,Cao Minh ,Đơn ,Kinh dị - Trinh thám,0.95,80000
78,Đứng trong bóng tối ,Shannon McKenna,Đơn ,Kinh dị - Trinh thám,0.85,80000
79,Bí ẩn phố âm dương ,Hà Mạc Bì ,Đơn ,Kinh dị - Trinh thám,0.97,110000
80,Tổng đài kể chuyện lúc 0H ,Emma Ha My ,Đơn ,Kinh dị - Trinh thám,0.99,125000
81,Vong hồn ,Trường Lê ,Đơn ,Kinh dị - Trinh thám,0.98,90000
82,Chơi ngải ,Vương Thịnh ,Đơn ,Kinh dị - Trinh thám,0.97,90000
83,Hồ sơ số 113,Émile Gaboriau,Đơn,Kinh dị - Trinh thám,0.85,65000
